AMX.SPC,,,AM9.SPC,,,AM7.SPC,,,AM5.SPC,,,AM3.SPC,,,AM1.SPC,,,,,,,,,AM21.SPC,,,AM22.SPC,,,AM23.SPC,,,,,,,,,AM2X.SPC,,,AA.SPC,
WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs
530,0.0248,,530,0.038,,530,0.0386,,530,0.0334,,530,0.0085,,530,-0.061,,,,,,,,530,0.2821,,530,0.4679,,530,0.6042,,,,,,,,530,0.24,,330,0.0541
529,0.0242,,529,0.0376,,529,0.0381,,529,0.0329,,529,0.0079,,529,-0.0613,,,,,,,,529,0.2804,,529,0.4651,,529,0.6016,,,,,,,,529,0.2382,,329,0.0548
528,0.0235,,528,0.0372,,528,0.0376,,528,0.0323,,528,0.0073,,528,-0.0616,,,,,,,,528,0.2784,,528,0.462,,528,0.5986,,,,,,,,528,0.236,,328,0.0553
527,0.0229,,527,0.0368,,527,0.0371,,527,0.0318,,527,0.0067,,527,-0.0619,,,,,,,,527,0.2765,,527,0.4588,,527,0.5955,,,,,,,,527,0.2339,,327,0.0556
526,0.0223,,526,0.0364,,526,0.0367,,526,0.0312,,526,0.0061,,526,-0.0621,,,,,,,,526,0.2743,,526,0.4555,,526,0.5922,,,,,,,,526,0.2316,,326,0.0559
525,0.0216,,525,0.0359,,525,0.0361,,525,0.0305,,525,0.0055,,525,-0.0623,,,,,,,,525,0.2721,,525,0.4519,,525,0.5885,,,,,,,,525,0.2291,,325,0.0566
524,0.0209,,524,0.0354,,524,0.0356,,524,0.03,,524,0.0048,,524,-0.0626,,,,,,,,524,0.2699,,524,0.4484,,524,0.5849,,,,,,,,524,0.2266,,324,0.0574
523,0.0202,,523,0.0349,,523,0.035,,523,0.0293,,523,0.0042,,523,-0.0628,,,,,,,,523,0.2675,,523,0.4445,,523,0.5809,,,,,,,,523,0.2239,,323,0.058
522,0.0194,,522,0.0343,,522,0.0343,,522,0.0286,,522,0.0034,,522,-0.0631,,,,,,,,522,0.2651,,522,0.4404,,522,0.5767,,,,,,,,522,0.221,,322,0.0588
521,0.0185,,521,0.0335,,521,0.0335,,521,0.0277,,521,0.0026,,521,-0.0634,,,,,,,,521,0.2626,,521,0.4362,,521,0.5722,,,,,,,,521,0.2182,,321,0.0593
520,0.0175,,520,0.0326,,520,0.0325,,520,0.0267,,520,0.0016,,520,-0.064,,,,,,,,520,0.2599,,520,0.4317,,520,0.5675,,,,,,,,520,0.2149,,320,0.0598
519,0.0165,,519,0.0318,,519,0.0315,,519,0.0258,,519,0.0007,,519,-0.0644,,,,,,,,519,0.2572,,519,0.4273,,519,0.5625,,,,,,,,519,0.2117,,319,0.0604
